gene,alias
AMD1,AMD1
AMD1P2,AMD
AMD1P2,AMD2
AMD1P2,AMDP1
AMD1P2,AMDPX
AMD1P2,AMDPY
AMD1P2,AMD1P2
AMELX,AI1E
AMELX,AIH1
AMELX,ALGN
AMELX,AMG
AMELX,AMGL
AMELX,AMGX
AMELX,AMELX
AMELY,AMGL
AMELY,AMGY
AMELY,AMELY
AMFR,GP78
AMFR,RNF45
AMFR,AMFR
AMH,MIF
AMH,MIS
AMH,AMH
AMHR2,AMHR
AMHR2,MISR2
AMHR2,MISRII
AMHR2,MRII
AMHR2,AMHR2
AMPD1,MAD
AMPD1,MADA
AMPD1,MMDD
AMPD1,AMPD1
AMPD2,PCH9
AMPD2,SPG63
AMPD2,AMPD2
AMPD3,AMPD3
AMPH,AMPH1
AMPH,AMPH
BIN1,AMPH2
BIN1,AMPHL
BIN1,CNM2
BIN1,SH3P9
BIN1,BIN1
AMT,GCE
AMT,GCST
AMT,GCVT
AMT,NKH
AMT,AMT
AMY1A,AMY1
AMY1A,AMY1A
AMY1B,AMY1
AMY1B,AMY1B
AMY1C,AMY1
AMY1C,AMY1C
AMY2A,AMY2
AMY2A,PA
AMY2A,AMY2A
AMY2B,AMY2
AMY2B,AMY3
AMY2B,HXA
AMY2B,AMY2B
AMYP1,AMY2P
AMYP1,AMYP1
ANCR,ANCR
ANG,ALS9
ANG,HEL168
ANG,RAA1
ANG,RNASE4
ANG,RNASE5
ANG,ANG
ANGPT1,AGP1
ANGPT1,AGPT
ANGPT1,ANG1
ANGPT1,HAE5
ANGPT1,ANGPT1
ANGPT2,AGPT2
ANGPT2,ANG2
ANGPT2,LMPHM10
ANGPT2,ANGPT2
ANK1,ANK
ANK1,SPH1
ANK1,SPH2
ANK1,ANK1
ANK2,ANK-2
ANK2,CFAP87
ANK2,FAP87
ANK2,LQT4
ANK2,brank-2
ANK2,ANK2
ANK3,ANKYRIN-G
ANK3,MRT37
ANK3,ANK3
ANOP1,MCOPS4
ANOP1,ANOP1
ANPEP,APN
ANPEP,CD13
ANPEP,GP150
ANPEP,LAP1
ANPEP,P150
ANPEP,PEPN
ANPEP,ANPEP
SLC25A4,AAC1
SLC25A4,ANT
SLC25A4,ANT 1
SLC25A4,ANT1
SLC25A4,MTDPS12
SLC25A4,MTDPS12A
SLC25A4,PEO2
SLC25A4,PEO3
SLC25A4,PEOA2
SLC25A4,T1
SLC25A4,SLC25A4
SLC25A5,2F1
SLC25A5,AAC2
SLC25A5,ANT2
SLC25A5,T2
SLC25A5,T3
SLC25A5,SLC25A5
SLC25A6,AAC3
SLC25A6,ANT
SLC25A6,ANT 2
SLC25A6,ANT 3
SLC25A6,ANT3
SLC25A6,ANT3Y
SLC25A6,SLC25A6
ANXA1,ANX1
ANXA1,LPC1
ANXA1,ANXA1
ANXA2,ANX2
ANXA2,ANX2L4
ANXA2,CAL1H
ANXA2,HEL-S-270
ANXA2,LIP2
ANXA2,LPC2
ANXA2,LPC2D
ANXA2,P36
ANXA2,PAP-IV
ANXA2,ANXA2
ANXA2P1,ANX2L1
ANXA2P1,ANX2P1
ANXA2P1,LPC2A
ANXA2P1,ANXA2P1
ANXA2P2,ANX2L2
ANXA2P2,ANX2P2
ANXA2P2,LPC2B
ANXA2P2,ANXA2P2
ANXA2P3,ANX2L3
ANXA2P3,ANX2P3
ANXA2P3,LIP2
ANXA2P3,LPC2C
ANXA2P3,ANXA2P3
ANXA3,ANX3
ANXA3,ANXA3
ANXA4,ANX4
ANXA4,HEL-S-274
ANXA4,P32.5
ANXA4,PAP-II
ANXA4,PIG28
ANXA4,PP4-X
ANXA4,ZAP36
ANXA4,ANXA4
ANXA5,ANX5
ANXA5,ENX2
ANXA5,HEL-S-7
ANXA5,PP4
ANXA5,RPRGL3
ANXA5,ANXA5
ANXA6,ANX6
ANXA6,CBP68
ANXA6,CPB-II
ANXA6,p68
ANXA6,p70
ANXA6,ANXA6
ANXA7,ANX7
ANXA7,SNX
ANXA7,SYNEXIN
ANXA7,ANXA7
ANXA11,ALS23
ANXA11,ANX11
ANXA11,CAP-50
ANXA11,CAP50
ANXA11,ANXA11
ANXA13,ANX13
ANXA13,ISA
ANXA13,ANXA13
AOAH,AOAH
AOC2,DAO2
AOC2,RAO
AOC2,SSAO
AOC2,AOC2
AOX1,AO
AOX1,AOH1
AOX1,AOX1
APAF1,APAF-1
APAF1,CED4
APAF1,APAF1
NUDT2,APAH1
NUDT2,NUDT2
APOF,Apo-F
APOF,LTIP
APOF,APOF
APBA1,D9S411E
APBA1,LIN10
APBA1,MINT1
APBA1,X11
APBA1,X11A
APBA1,X11ALPHA
APBA1,APBA1
APBA2,D15S1518E
APBA2,HsT16821
APBA2,LIN-10
APBA2,MGC:14091
APBA2,MINT2
APBA2,X11-BETA
APBA2,X11L
APBA2,APBA2
APBB1,FE65
APBB1,MGC:9072
APBB1,RIR
APBB1,APBB1
APBB2,FE65L
APBB2,FE65L1
APBB2,APBB2
APC,BTPS2
APC,DESMD
APC,DP2
APC,DP2.5
APC,DP3
APC,GS
APC,PPP1R46
APC,APC
APCS,HEL-S-92n
APCS,PTX2
APCS,SAP
APCS,APCS
AIRE,AIRE1
AIRE,APECED
AIRE,APS1
AIRE,APSI
AIRE,PGA1
AIRE,AIRE
APEH,AARE
APEH,ACPH
APEH,APH
APEH,D3F15S2
APEH,D3S48E
APEH,DNF15S2
APEH,OPH
APEH,APEH
APEX1,APE
APEX1,APE1
APEX1,APEN
APEX1,APEX
APEX1,APX
APEX1,HAP1
APEX1,REF1
APEX1,APEX1
BIRC2,API1
BIRC2,HIAP2
BIRC2,Hiap-2
BIRC2,MIHB
BIRC2,RNF48
BIRC2,c-IAP1
BIRC2,cIAP1
BIRC2,BIRC2
BIRC3,AIP1
BIRC3,API2
BIRC3,CIAP2
BIRC3,HAIP1
BIRC3,HIAP1
BIRC3,IAP-1
BIRC3,MALT2
BIRC3,MIHC
BIRC3,RNF49
BIRC3,c-IAP2
BIRC3,BIRC3
XIAP,API3
XIAP,BIRC4
XIAP,IAP-3
XIAP,ILP1
XIAP,MIHA
XIAP,XLP2
XIAP,hIAP-3
XIAP,hIAP3
XIAP,XIAP
BIRC5,API4
BIRC5,EPR-1
BIRC5,BIRC5
APLP1,APLP
APLP1,APLP1
APLP2,APLP-2
APLP2,APPH
APLP2,APPL2
APLP2,CDEBP
APLP2,APLP2
APOA1,HPALP2
APOA1,apo(a)
APOA1,APOA1
APOA2,Apo-AII
APOA2,ApoA-II
APOA2,apoAII
APOA2,APOA2
APOA4,APOA4
APOB,FCHL2
APOB,FLDB
APOB,LDLCQ4
APOB,apoB-100
APOB,apoB-48
APOB,APOB
APOBEC1,APOBEC-1
APOBEC1,BEDP
APOBEC1,CDAR1
APOBEC1,HEPR
APOBEC1,APOBEC1
APOC1,Apo-CI
APOC1,ApoC-I
APOC1,apo-CIB
APOC1,apoC-IB
APOC1,APOC1
APOC1P1,APOC1P1
AQP8,AQP-8
AQP8,AQP8
APOC2,APO-CII
APOC2,APOC-II
APOC2,APOC2
APOC3,APOCIII
APOC3,APOC3
APOC4,APO-CIV
APOC4,APOC-IV
APOC4,APOC4
APOD,APOD
